state,killed,id,injured,KilledOrInjured,date
Florida,0,12,6,6,21 May 2022
Maryland,1,24,3,4,22 May 2022
Texas,0,48,4,4,23 May 2022
Colorado,0,8,4,4,24 May 2022
Georgia,1,13,6,7,25 May 2022
Illinois,0,17,4,4,26 May 2022
Louisiana,0,22,5,5,27 May 2022
Maryland,0,24,4,4,28 May 2022
Missouri,0,29,6,6,29 May 2022
Missouri,1,29,3,4,30 May 2022
Tennessee,0,47,4,4,31 May 2022
California,7,6,0,7,01 June 2022
Indiana,1,18,4,5,02 June 2022
Louisiana,0,22,4,4,03 June 2022
New York,0,36,5,5,04 June 2022
Maryland,0,24,5,5,05 June 2022
